reason,source_doc,reference_page,raw_office,payee,description,amount,detail
duplicate_rows_advisory,112sdoc10,783,SENATOR THAD COCHRAN,,INTERN FROM MAY. 29 TO JUL. 27,"1,966.66",appears 4x on same page
duplicate_rows_advisory,112sdoc10,783,SENATOR THAD COCHRAN,,INTERN FROM SEP. 10,700.00,appears 2x on same page
duplicate_rows_advisory,112sdoc10,797,SENATOR SUSAN M. COLLINS,,INTERN FROM SEP. 4,"1,687.50",appears 2x on same page
duplicate_rows_advisory,112sdoc10,823,SENATOR KENT CONRAD,,DC INTERN FROM AUG. 29,"1,340.43",appears 2x on same page
duplicate_rows_advisory,112sdoc10,823,SENATOR KENT CONRAD,,STATE INTERN TO MAY. 11,880.24,appears 2x on same page
duplicate_rows_advisory,112sdoc10,823,SENATOR KENT CONRAD,,DC INTERN FROM MAY. 23 TO AUG. 24,"3,853.74",appears 2x on same page
duplicate_rows_advisory,112sdoc10,823,SENATOR KENT CONRAD,,DC INTERN FROM MAY. 29 TO AUG. 10,"3,015.97",appears 2x on same page
duplicate_rows_advisory,112sdoc10,844,SENATOR BOB CORKER,,LEGISLATIVE CORRESPONDENT,"21,499.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,844,SENATOR BOB CORKER,,INTERN FROM MAY. 14 TO JUN. 13,999.99,appears 6x on same page
duplicate_rows_advisory,112sdoc10,844,SENATOR BOB CORKER,,INTERN FROM JUN. 25 TO JUL. 24,"1,000.00",appears 7x on same page
duplicate_rows_advisory,112sdoc10,864,SENATOR JOHN CORNYN,,DEPUTY REGIONAL DIRECTOR,"18,249.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,864,SENATOR JOHN CORNYN,,LAW CLERK FROM MAY. 21 TO JUL. 1,"2,733.32",appears 2x on same page
duplicate_rows_advisory,112sdoc10,864,SENATOR JOHN CORNYN,,LAW CLERK FROM JUL. 9 TO AUG. 12,"2,266.66",appears 2x on same page
duplicate_rows_advisory,112sdoc10,879,SENATOR MICHAEL D. CRAPO,,INTERN FROM SEP. 5,902.77,appears 3x on same page
duplicate_rows_advisory,112sdoc10,891,SENATOR JIM DEMINT,,INTERN FROM JUN. 4 TO JUN. 29,866.66,appears 2x on same page
duplicate_rows_advisory,112sdoc10,891,SENATOR JIM DEMINT,,INTERN FROM JUL. 9 TO AUG. 3,833.33,appears 4x on same page
duplicate_rows_advisory,112sdoc10,905,SENATOR RICHARD J. DURBIN,,SENATE AIDE,"21,499.92",appears 2x on same page
